description,start time,end time,timestep,iterations,courant #,gravitational constant,Number of Particles,mass_1,qx_1,qy_1,qz_1,px_1,py_1,pz_1,mass_2,qx_2,qy_2,qz_2,px_2,py_2,pz_2,mass_3,qx_3,qy_3,qz_3,px_3,py_3,pz_3,mass_4,qx_4,qy_4,qz_4,px_4,py_4,pz_4,mass_5,qx_5,qy_5,qz_5,px_5,py_5,pz_5,mass_6,qx_6,qy_6,qz_6,px_6,py_6,pz_6,mass_7,qx_7,qy_7,qz_7,px_7,py_7,pz_7
CONVERGENCE TESTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit-0.00 roughly modelled after Mercury and the Sun,0,1.507E+15,1.507E+13,0,0,1,0,1,0,0,0,0,-2.67E-12,0,0.000000166,3860700000,0,0,0,2.67E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit-0.50 newtonian orbit with an eccentricity of 0.50,0,1.23E+16,6.15E+13,0,0,1,0,1,0,0,0,0,-3.27E-12,0,0.000000166,3860700000,0,0,0,3.27E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit-0.90 newtonian orbit with an eccentricity of 0.90,0,4.77E+16,4.77E+13,0,0,1,0,1,0,0,0,0,-3.68E-12,0,0.000000166,3860700000,0,0,0,3.68E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit-0.95 newtonian orbit with an eccentricity of 0.95,0,2.70E+16,2.7E+13,0,0,1,0,1,0,0,0,0,-3.73E-12,0,0.000000166,3860700000,0,0,0,3.73E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closein-test-50,0,1300,1,0,0,1,0,1,0,0,0,0,1.66E-08,0,0.000000166,50,0,0,0,-1.66E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closein-test-100,0,130000,100,0,0,1,0,1,0,0,0,0,2.21E-08,0,0.000000166,100,0,0,0,-2.21E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCMS1-ScatterCloseMassive-b14,0,0.25,0.05,0,0,1,0,0.0497992,1.147497142,-20.79187337,0,0.520098218,0.028625386,0,0.0391122,-1.153502417,20.78824248,0,-0.520098218,-0.028625386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCML1-ScatterCloseMassless-b14,0,0.25,0.05,0,0,1,0,0,1.168532533,-18.60118413,0,0.524947976,0.032866418,0,0,-1.168532533,18.60118413,0,-0.524947976,-0.032866418,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCMX1-ScatterCloseMixed-b14,0,0.25,0.05,0,0,1,0,0.5411961,0.519201218,-18.97028096,0,0.371632666,0.022678063,0,0,-1.751135422,18.19580816,0,-0.371632666,-0.022678063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFiveParticles,0,0.25,0.05,0,0,1,0,1,0,0,0,0,0,0,0.5411961,0.519201218,-18.97028096,0,0.371632666,0.022678063,0,0,-1.751135422,18.19580816,0,-0.371632666,-0.022678063,0,0,1.168532533,-18.60118413,0,0.524947976,0.032866418,0,0,-1.168532533,18.60118413,0,-0.524947976,-0.032866418,0,,,,,,,,,,,,,,
ENERGY CONSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-0.95 high-eccentricity (~0.95) w/ 500 orbits (5000 points/orbit),0,1.35E+17,1.35E+14,0,1,1,0,1,0,0,0,0,-3.73E-12,0,0.000000166,3860700000,0,0,0,3.73E-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC50-closein-test-50,0,1300,1,0,0.01,1,0,1,0,0,0,0,1.66E-08,0,0.000000166,50,0,0,0,-1.66E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC100-closein-test-100,0,130000,100,0,0.01,1,0,1,0,0,0,0,2.21E-08,0,0.000000166,100,0,0,0,-2.21E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENTUM CONSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc-massless two massless particles scattering,0,100000,1000,0,1,1,0,0,50000,50,0,-0.001,0,0,0,-50000,-50,0,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc-massive a massless and a massive particle scattering,0,100000,1000,0,1,1,0,0,50000,50,0,-0.001,0,0,1,-50000,-50,0,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
