Description,Start Time,End Time,Timestep,Iterations,Courant Number,Gravitational Constant,Speed of Light,mass_1,qx_1,qy_1,qz_1,px_1,py_1,pz_1,mass_2,qx_2,qy_2,qz_2,px_2,py_2,pz_2
CMScatter_b_1,0,1.29289321881345263682305812835693359375e6,129.2893218813452733684243867173790931702,0,0.01,1,1,0.541196100146196984399723205366389420061,-353553.39059327379800379276275634765625,-5.,0,0.3535533905932737622004221810524245196424,0,0,0,646446.609406726318411529064178466796875,5.,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_2,0,1.43618529294099542312324047088623046875e6,143.6185292940995452681818278506398200989,0,0.01,1,1,0.541196100146196984399723205366389420061,-392737.909404061385430395603179931640625,-5.554152779372794945800251298351213335991,0,0.3535533905932737622004221810524245196424,0,0,0,718092.646470497711561620235443115234375,5.554152779372794945800251298351213335991,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_3,0,1.5953585072965123690664768218994140625e6,159.5358507296512584616721142083406448364,0,0.01,1,1,0.541196100146196984399723205366389420061,-436265.2702163257054053246974945068359375,-6.169722619322909551442535303067415952682,0,0.3535533905932737622004221810524245196424,0,0,0,797679.25364825618453323841094970703125,6.169722619322909551442535303067415952682,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_4,0,1.7721729774793912656605243682861328125e6,177.2172977479391420274623669683933258057,0,0.01,1,1,0.541196100146196984399723205366389420061,-484616.7926231657038442790508270263671875,-6.853516406814307515560358297079801559448,0,0.3535533905932737622004221810524245196424,0,0,0,886086.48873969563283026218414306640625,6.853516406814307515560358297079801559448,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_5,0,1.968583893679304979741573333740234375e6,196.8583893679304992474499158561229705811,0,0.01,1,1,0.541196100146196984399723205366389420061,-538327.141135737183503806591033935546875,-7.613095439876947700952314335154369473457,0,0.3535533905932737622004221810524245196424,0,0,0,984291.9468396524898707866668701171875,7.613095439876947700952314335154369473457,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_6,0,2.1867631409014859236776828765869140625e6,218.6763140901485940048587508499622344971,0,0.01,1,1,0.541196100146196984399723205366389420061,-597990.237430173088796436786651611328125,-8.456859039404580613563666702248156070709,0,0.3535533905932737622004221810524245196424,0,0,0,1.09338157045074296183884143829345703125e6,8.456859039404580613563666702248156070709,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_7,0,2.4291233153735944069921970367431640625e6,242.9123315373594493848941056057810783386,0,0.01,1,1,0.541196100146196984399723205366389420061,-664265.8278521187603473663330078125,-9.39413742769457904557839356129989027977,0,0.3535533905932737622004221810524245196424,0,0,0,1.21456165768679720349609851837158203125e6,9.39413742769457904557839356129989027977,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_8,0,2.6983444027043008245527744293212890625e6,269.834440270430093278264394029974937439,0,0.01,1,1,0.541196100146196984399723205366389420061,-737886.778801442938856780529022216796875,-10.43529490076796761854893702547997236252,0,0.3535533905932737622004221810524245196424,0,0,0,1.34917220135215041227638721466064453125e6,10.43529490076796761854893702547997236252,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_9,0,2.9974034127970249392092227935791015625e6,299.7403412797025339386891573667526245117,0,0.01,1,1,0.541196100146196984399723205366389420061,-819667.180668495013378560543060302734375,-11.59184443533503738876788702327758073807,0,0.3535533905932737622004221810524245196424,0,0,0,1.49870170639851246960461139678955078125e6,11.59184443533503738876788702327758073807,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_10,0,3.329607299217619933187961578369140625e6,332.9607299217619811315671540796756744385,0,0.01,1,1,0.541196100146196984399723205366389420061,-910511.349934117053635418415069580078125,-12.8765749977146342075684515293687582016,0,0.3535533905932737622004221810524245196424,0,0,0,1.6648036496088099665939807891845703125e6,12.8765749977146342075684515293687582016,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_11,0,3.69862952703389711678028106689453125e6,369.8629527033897375076776370406150817871,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.0114238289774102158844470977783203125e6,-14.30369296247179278225303278304636478424,0,0.3535533905932737622004221810524245196424,0,0,0,1.849314763516948558390140533447265625e6,14.30369296247179278225303278304636478424,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_12,0,4.1085506934891208074986934661865234375e6,410.8550693489120817503135185688734054565,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.12352049416775139980018138885498046875e6,-15.88897920456155965496236603939905762672,0,0.3535533905932737622004221810524245196424,0,0,0,2.05427534674456040374934673309326171875e6,15.88897920456155965496236603939905762672,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_13,0,4.563903650687324814498424530029296875e6,456.3903650687324784485099371522665023804,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.248040895072822459042072296142578125e6,-17.64996360208242265343869803473353385925,0,0.3535533905932737622004221810524245196424,0,0,0,2.2819518253436624072492122650146484375e6,17.64996360208242265343869803473353385925,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_14,0,5.06972362925093062222003936767578125e6,506.9723629250930798662011511623859405518,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.38636196122792572714388370513916015625e6,-19.60611887926695473538529768120497465134,0,0.3535533905932737622004221810524245196424,0,0,0,2.534861814625465311110019683837890625e6,19.60611887926695473538529768120497465134,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_15,0,5.631603917211197316646575927734375e6,563.160391721119708563492167741060256958,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.54001322803416033275425434112548828125e6,-21.7790759331987935354391083819791674614,0,0.3535533905932737622004221810524245196424,0,0,0,2.8158019586055986583232879638671875e6,21.7790759331987935354391083819791674614,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_16,0,6.255757709821057505905628204345703125e6,625.5757709821058369925594888627529144287,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.7106937501513599418103694915771484375e6,-24.19286302530944254840505891479551792145,0,0.3535533905932737622004221810524245196424,0,0,0,3.1278788549105287529528141021728515625e6,24.19286302530944254840505891479551792145,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_17,0,6.94908681421708874404430389404296875e6,694.9086814217089340672828257083892822266,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.900290889411770738661289215087890625e6,-26.87417148260157517825064132921397686005,0,0.3535533905932737622004221810524245196424,0,0,0,3.474543407108544372022151947021484375e6,26.87417148260157517825064132921397686005,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_18,0,7.719257968657338060438632965087890625e6,771.9257968657337869444745592772960662842,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.110901185008637607097625732421875e6,-29.85265084668652946220390731468796730042,0,0.3535533905932737622004221810524245196424,0,0,0,3.8596289843286690302193164825439453125e6,29.85265084668652946220390731468796730042,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_19,0,8.57478762026275135576725006103515625e6,857.4787620262751488553476519882678985596,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.34485353673941083252429962158203125e6,-33.1612367343539276021147088613361120224,0,0.3535533905932737622004221810524245196424,0,0,0,4.287393810131375677883625030517578125e6,33.1612367343539276021147088613361120224,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_20,0,9.52513609872275777161121368408203125e6,952.5136098722758788426290266215801239014,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.604734957660664804279804229736328125e6,-36.83651503511021729764252086170017719269,0,0.3535533905932737622004221810524245196424,0,0,0,4.762568049361378885805606842041015625e6,36.83651503511021729764252086170017719269,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_21,0,1.05808122273250259459018707275390625e7,1058.08122273250273792655207216739654541,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.8934191809240914881229400634765625e6,-40.91912647293301574791257735341787338257,0,0.3535533905932737622004221810524245196424,0,0,0,5.29040611366251297295093536376953125e6,40.91912647293301574791257735341787338257,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_22,0,1.175348952808378450572490692138671875e7,1175.34895280837849895760882645845413208,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.2140984371240180917084217071533203125e6,-45.4542160058295579005971376318484544754,0,0.3535533905932737622004221810524245196424,0,0,0,5.876744764041892252862453460693359375e6,45.4542160058295579005971376318484544754,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_23,0,1.3056135305947124958038330078125e7,1305.613530594712528909440152347087860107,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.5703187535460260696709156036376953125e6,-50.49193203259793705228730686940252780914,0,0.3535533905932737622004221810524245196424,0,0,0,6.5280676529735624790191650390625e6,50.49193203259793705228730686940252780914,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_24,0,1.450315403947869874536991119384765625e7,1450.315403947869981493568047881126403809,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.9660191656508943997323513031005859375e6,-56.08798092695121795259183272719383239746,0,0.3535533905932737622004221810524245196424,0,0,0,7.251577019739349372684955596923828125e6,56.08798092695121795259183272719383239746,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_25,0,1.611054666360847651958465576171875e7,1611.054666360847704709158279001712799072,0,0.01,1,1,0.541196100146196984399723205366389420061,-4.405575274389137513935565948486328125e6,-62.30424303096687310699053341522812843323,0,0.3535533905932737622004221810524245196424,0,0,0,8.055273331804238259792327880859375e6,62.30424303096687310699053341522812843323,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_26,0,1.78960875057792253792285919189453125e7,1789.608750577922592128743417561054229736,0,0.01,1,1,0.541196100146196984399723205366389420061,-4.89384763099689781665802001953125e6,-69.20945691943255440037319203838706016541,0,0.3535533905932737622004221810524245196424,0,0,0,8.94804375288961268961429595947265625e6,69.20945691943255440037319203838706016541,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_27,0,1.9879520832024492323398590087890625e7,1987.952083202449330201488919556140899658,0,0.01,1,1,0.541196100146196984399723205366389420061,-5.436235484305679798126220703125e6,-76.87997950158961657507461495697498321533,0,0.3535533905932737622004221810524245196424,0,0,0,9.9397604160122461616992950439453125e6,76.87997950158961657507461495697498321533,0,-0.3535533905932737622004221810524245196424,0,0
