"Description","Start Time","End Time","Timestep","Iterations","Courant Number","Gravitational Constant","Number of Particles","mass_1","qx_1","qy_1","qz_1","px_1","py_1","pz_1","mass_2","qx_2","qy_2","qz_2","px_2","py_2","pz_2"
"CMScatter_b_1",0,1.e6,100.,0,0.001,1,2,0,-500000.,-5.,0,0.5,0,0,0,500000.,5.,0,-0.5,0,0
"CMScatter_b_2",0,1.110830555874559096992015838623046875e6,111.0830555874559166795734199695289134979,0,0.001,1,2,0,-555415.2779372795484960079193115234375,-5.554152779372794945800251298351213335991,0,0.5,0,0,0,555415.2779372795484960079193115234375,5.554152779372794945800251298351213335991,0,-0.5,0,0
"CMScatter_b_3",0,1.23394452386458194814622402191162109375e6,123.3944523864581981342780636623501777649,0,0.001,1,2,0,-616972.261932290974073112010955810546875,-6.169722619322909551442535303067415952682,0,0.5,0,0,0,616972.261932290974073112010955810546875,6.169722619322909551442535303067415952682,0,-0.5,0,0
"CMScatter_b_4",0,1.3707032813628613948822021484375e6,137.070328136286150311207165941596031189,0,0.001,1,2,0,-685351.64068143069744110107421875,-6.853516406814307515560358297079801559448,0,0.5,0,0,0,685351.64068143069744110107421875,6.853516406814307515560358297079801559448,0,-0.5,0,0
"CMScatter_b_5",0,1.52261908797538955695927143096923828125e6,152.2619087975389504663326079025864601135,0,0.001,1,2,0,-761309.543987694778479635715484619140625,-7.613095439876947700952314335154369473457,0,0.5,0,0,0,761309.543987694778479635715484619140625,7.613095439876947700952314335154369473457,0,-0.5,0,0
"CMScatter_b_6",0,1.6913718078809161670506000518798828125e6,169.1371807880916264821280492469668388367,0,0.001,1,2,0,-845685.90394045808352530002593994140625,-8.456859039404580613563666702248156070709,0,0.5,0,0,0,845685.90394045808352530002593994140625,8.456859039404580613563666702248156070709,0,-0.5,0,0
"CMScatter_b_7",0,1.878827485538915731012821197509765625e6,187.8827485538915880169952288269996643066,0,0.001,1,2,0,-939413.7427694578655064105987548828125,-9.39413742769457904557839356129989027977,0,0.5,0,0,0,939413.7427694578655064105987548828125,9.39413742769457904557839356129989027977,0,-0.5,0,0
"CMScatter_b_8",0,2.08705898015359346754848957061767578125e6,208.7058980153593665818334557116031646729,0,0.001,1,2,0,-1.043529490076796733774244785308837890625e6,-10.43529490076796761854893702547997236252,0,0.5,0,0,0,1.043529490076796733774244785308837890625e6,10.43529490076796761854893702547997236252,0,-0.5,0,0
"CMScatter_b_9",0,2.3183688870670073665678501129150390625e6,231.8368887067007335645030252635478973389,0,0.001,1,2,0,-1.15918444353350368328392505645751953125e6,-11.59184443533503738876788702327758073807,0,0.5,0,0,0,1.15918444353350368328392505645751953125e6,11.59184443533503738876788702327758073807,0,-0.5,0,0
"CMScatter_b_10",0,2.5753149995429269038140773773193359375e6,257.531499954292712573078460991382598877,0,0.001,1,2,0,-1.28765749977146345190703868865966796875e6,-12.8765749977146342075684515293687582016,0,0.5,0,0,0,1.28765749977146345190703868865966796875e6,12.8765749977146342075684515293687582016,0,-0.5,0,0
